Date,Start,End,Appliance
02/01/2023,19:43,,w
02/01/2023,20:06,,f
02/01/2023,20:27,,w
02/01/2023,20:51,,w
02/01/2023,20:53,,w
02/01/2023,21:03,,w
02/01/2023,21:05,,w
02/01/2023,21:11,,w
02/01/2023,21:42,21:56,s
02/01/2023,23:29,23:31,w
02/02/2023,0:17,,w
02/02/2023,6:57,,f
02/02/2023,7:02,,w
02/02/2023,7:14,,f
02/02/2023,7:19,,w
02/02/2023,7:56,7:58,w
02/02/2023,8:01,8:03,w
02/02/2023,8:07,8:16,s
02/02/2023,8:22,8:23,w
02/02/2023,8:27,8:28,w
02/02/2023,8:31,8:32,w
02/02/2023,8:35,,w
02/02/2023,8:40,,w
02/02/2023,8:55,,w
02/02/2023,9:16,9:18,w
02/02/2023,9:57,9:58,w
02/02/2023,10:45,,w
02/02/2023,11:40,11:51,w
02/02/2023,11:53,11:55,w
02/02/2023,11:59,,w
02/02/2023,13:26,,f+w
02/02/2023,15:33,,w
02/02/2023,16:13,,w
02/02/2023,16:33,,f+w
02/02/2023,16:47,,w
02/02/2023,16:56,,f+w
02/02/2023,17:58,,w
02/02/2023,19:04,,f+w
02/02/2023,19:46,,w
02/02/2023,20:21,20:27,w
02/02/2023,20:45,20:48,w
02/02/2023,21:30,,f
02/02/2023,23:07,,f+w
02/03/2023,5:58,,f+w
02/03/2023,6:49,,w
02/03/2023,6:59,,f
02/03/2023,7:25,,f+w
02/03/2023,9:45,9:52,w
02/03/2023,10:32,,w
02/03/2023,11:58,,f+w
02/03/2023,15:00,,f+w
02/03/2023,15:39,,f+w
02/03/2023,15:45,15:56,w
02/03/2023,16:08,16:17,w
02/03/2023,17:01,,f+w
02/03/2023,17:20,,f+w
02/03/2023,19:11,19:15,w
02/03/2023,20:02,,f+w
02/03/2023,21:05,,f+w
02/03/2023,21:30,21:41,s
02/03/2023,21:43,21:54,w
02/04/2023,0:33,,f
02/04/2023,8:29,,f+w
02/04/2023,9:08,,w
02/04/2023,9:23,,f+w
02/04/2023,9:32,,f+w
02/04/2023,9:58,10:01,w
02/04/2023,10:43,10:56,w
02/04/2023,11:03,11:10,s
02/04/2023,12:17,,f+w
02/04/2023,12:34,,f+w
02/04/2023,12:41,12:43,w
02/04/2023,13:21,,f
02/04/2023,18:09,,f+w
02/04/2023,18:29,,f+w
02/04/2023,18:36,,f+w
02/05/2023,0:28,0:31,w
02/05/2023,0:33,,f+w
02/05/2023,0:38,,f
02/05/2023,0:49,,f
02/05/2023,5:56,,f+w
02/05/2023,9:24,,f+w
02/05/2023,9:27,9:29,w
02/05/2023,9:39,,f+w
02/05/2023,9:40,9:42,w
02/05/2023,9:46,9:56,w
02/05/2023,10:14,,f+w
02/05/2023,10:43,,f+w
02/05/2023,11:15,,f+w
02/05/2023,11:22,,f+w
02/05/2023,11:37,,f
02/05/2023,11:40,11:50,s
02/05/2023,12:10,13:58:00 PM,dw
02/05/2023,13:01,,f
02/05/2023,13:36,,f
02/05/2023,15:10,,f+w
02/05/2023,15:15,15:24,w
02/05/2023,16:44,,f
02/05/2023,17:37,17:45,s
02/05/2023,17:49,,f
02/05/2023,18:16,18:24,s
02/05/2023,21:21,,f+w
02/05/2023,21:32,,w
02/06/2023,6:54,,f
02/06/2023,7:06,7:07,w
02/06/2023,7:40,,f+w
02/06/2023,8:15,,f+w
02/06/2023,8:19,8:21,w
02/06/2023,10:07,,f
02/06/2023,10:33,,w
02/06/2023,11:43,11:44,f+w
02/06/2023,15:03,15:18,w
02/06/2023,15:52,,f
02/06/2023,16:42,,f+w
02/06/2023,18:33,,f
02/06/2023,18:37,,w
02/06/2023,18:49,18:53,s
02/06/2023,19:25,,f
02/06/2023,20:24,20:25,w
02/06/2023,21:13,21:15,w
02/06/2023,21:27,,f+w
02/06/2023,21:40,21:51,s
02/06/2023,23:51,23:52,w
02/07/2023,0:21,,f
02/07/2023,6:52,,f
02/07/2023,7:08,7:18,w
02/07/2023,8:33,8:51,s
02/07/2023,9:36,,f+w
02/07/2023,10:24,,f
02/07/2023,11:08,,f+w
02/07/2023,11:11,11:12,w
02/07/2023,11:16,11:42,h
02/07/2023,13:05,,f
02/07/2023,14:12,14:15,s
02/07/2023,14:41,,w
02/07/2023,16:31,,f
02/07/2023,17:29,,w
02/07/2023,18:36,,w
02/07/2023,19:12,,f+w
02/07/2023,20:25,,f+w
02/07/2023,21:38,21:42,f+w
02/07/2023,21:44,21:45,w
02/08/2023,6:49,,f
02/08/2023,7:26,,f+w
02/08/2023,7:34,7:46,w
02/08/2023,8:06,8:09,f+w
02/08/2023,8:51,8:58,s
02/08/2023,10:08,12:56,dw
02/08/2023,10:09,,f
02/08/2023,13:21,,f
02/08/2023,13:30,14:00,l
02/08/2023,15:02,15:28,h
02/08/2023,15:35,,f+w
02/08/2023,16:39,,f
02/08/2023,17:42,17:49,s
02/08/2023,18:54,18:56,w
02/08/2023,22:00,,f+w
02/08/2023,22:33,22:42,w
02/08/2023,23:25,,f
02/09/2023,6:52,,f+w
02/09/2023,7:44,,f+w
02/09/2023,7:58,,f+w
02/09/2023,8:02,,w
02/09/2023,8:16,8:37,s
02/09/2023,10:38,10:44,w
02/09/2023,11:22,,f+w
02/09/2023,13:54,13:59,h
02/09/2023,15:47,,f+w
02/09/2023,16:48,,f+w
02/09/2023,16:54,,w
02/09/2023,16:58,,w
02/09/2023,17:37,17:49,w
02/09/2023,17:54,,f
02/09/2023,18:37,18:45,s
02/09/2023,20:05,,f+w
02/09/2023,21:12,21:18,w
02/09/2023,21:20,,f
02/09/2023,22:12,,f+w
02/09/2023,22:52,,f
02/09/2023,22:55,,w
02/09/2023,23:28,,f
02/09/2023,23:33,,w
02/09/2023,23:38,,w
02/10/2023,12:12,12:13,w
02/10/2023,1:46,,f+w
02/10/2023,1:49,,f
02/10/2023,5:50,,f
02/10/2023,6:53,,f
02/10/2023,7:06,7:17,w
02/10/2023,8:35,,f+w
02/10/2023,8:56,,f
02/10/2023,9:18,9:22,f+w
02/10/2023,9:22,9:37,l
02/10/2023,9:31,12:19,dw
02/10/2023,11:10,,f
02/10/2023,12:23,,f
02/10/2023,12:58,,f+w
02/10/2023,13:02,13:17,w
02/10/2023,13:11,,f+w
02/10/2023,14:36,14:39,w
02/10/2023,14:48,14:50,w
02/10/2023,14:59,15:05,w
02/10/2023,15:17,15:24,w
02/10/2023,16:27,16:31,w
02/10/2023,16:44,16:45,w
02/10/2023,16:52,,f+w
02/10/2023,17:18,17:26,s
02/10/2023,18:39,,f
02/10/2023,18:45,19:01,w
02/10/2023,19:20,,f
02/10/2023,20:16,,f+w
02/10/2023,21:26,21:30,f+w
02/10/2023,21:47,21:51,w
02/10/2023,22:24,22:35,s
02/10/2023,22:49,,f
02/10/2023,23:46,23:56,w
02/11/2023,0:43,,f
02/11/2023,6:48,,f
02/11/2023,7:06,7:11,w
02/11/2023,7:09,,f
02/11/2023,7:25,,h
02/11/2023,8:44,,f
02/11/2023,9:02,,f+w
02/11/2023,9:08,9:09,w
02/11/2023,10:24,,f+w
02/11/2023,12:05,12:15,w
02/11/2023,13:34,,f
02/11/2023,13:38,13:41,w
02/11/2023,16:44,,w
02/11/2023,16:53,,f+w
02/11/2023,17:11,,f+w
02/11/2023,17:14,17:28,w
02/11/2023,17:54,,f+w
02/11/2023,21:18,,f+w
02/11/2023,21:44,,w
02/11/2023,22:13,,w
02/11/2023,22:19,,w
02/11/2023,22:57,,f
02/11/2023,23:37,,f+w
02/12/2023,8:55,,u
02/12/2023,8:56,9:05,w
02/12/2023,9:28,9:31,w
02/12/2023,9:32,12:20,dw 
02/12/2023,12:36,,f+w
02/12/2023,13:52,13:58,w
02/12/2023,14:02,14:13,w
02/12/2023,14:48,,f+w
02/12/2023,16:37,,f+w
02/12/2023,18:08,,f+w
02/12/2023,18:52,19:07,s
02/12/2023,19:17,,f
02/12/2023,23:38,,f
02/13/2023,2:10,,f+w
02/13/2023,2:13,,w
02/13/2023,8:23,,f+w
02/13/2023,8:24,,f
02/13/2023,8:30,8:34,w
02/13/2023,8:42,,f+w
02/13/2023,8:43,8:52,w
02/13/2023,8:54,9:00,s
02/13/2023,9:10,,f
02/13/2023,9:18,,f
02/13/2023,9:21,,f+w
02/13/2023,9:26,9:30,w
02/13/2023,10:36,,f+w
02/13/2023,10:46,10:51,w
02/13/2023,11:00,,f
02/13/2023,11:43,11:50,h
02/13/2023,11:52,,f+w
02/13/2023,12:37,,f+w
02/13/2023,12:51,12:52,w
02/13/2023,13:13,13:15,w
02/13/2023,13:34,13:47,s
02/13/2023,13:42,,f+w
02/13/2023,15:01,15:08,h
02/13/2023,17:22,17:31,w
02/13/2023,17:48,,f+w
02/13/2023,17:56,,f+w
02/13/2023,19:29,19:32,w
02/13/2023,19:46,19:47,w
02/13/2023,20:57,,f+w
02/13/2023,21:15,21:23,w
02/13/2023,22:48,,f+w
02/13/2023,22:51,,w
02/14/2023,0:22,,f+w
02/14/2023,0:28,,f
02/14/2023,7:02,,f+w
02/14/2023,8:01,,f
02/14/2023,8:08,,f+w
02/14/2023,8:09,8:26,w
02/14/2023,8:13,,f
02/14/2023,8:41,8:54,w
02/14/2023,8:45,,f+w
02/14/2023,9:52,,f+w
02/14/2023,10:02,,f+w
02/14/2023,10:06,10:07,w
02/14/2023,10:47,,f+w
02/14/2023,11:23,,f
02/14/2023,11:35,,f+w
02/14/2023,12:41,13:01,s
02/14/2023,13:04,15:52,dw
02/14/2023,13:25,,f+w
02/14/2023,13:55,14:07,h
02/14/2023,14:14,14:18,s
02/14/2023,15:26,,f+w
02/14/2023,16:46,,f
02/14/2023,16:55,,f
02/14/2023,17:32,,f
02/14/2023,20:37,20:47,s
02/14/2023,23:22,,w
02/14/2023,23:37,,f+w
02/15/2023,2:54,,f+w
02/15/2023,2:55,3:03,w
02/15/2023,3:03,,f+w
02/15/2023,7:14,,f+w
02/15/2023,7:15,,f+w
02/15/2023,8:37,,f+w
02/15/2023,9:10,9:17,h
02/15/2023,9:22,9:29,s
02/15/2023,11:05,11:10,h
02/15/2023,11:54,12:03,w
02/15/2023,12:01,,f+w
02/15/2023,14:29,,f+w
02/15/2023,14:52,,f+w
